n,d,repeat,elapsed,rank,T_over_rank,T_over_nk,T_over_nk2
1600,32,0,31.194999933243,1250,2.495599994659e-02,1.559749996662e-05,-1.737914668571e-08
1600,32,3,31.659999847412,1283,2.467653924194e-02,1.542283702621e-05,-1.905822620624e-08
1700,2,1,0.081000089645,9,9.000009960598e-03,5.294123506234e-06,5.882359451372e-07
1700,2,0,0.192000150681,27,7.111116691872e-03,4.183009818748e-06,1.549262895833e-07
1700,2,3,0.345999956131,60,5.766665935516e-03,3.392156432657e-06,5.653594054428e-08
1700,2,2,0.635999917984,112,5.678570696286e-03,3.340335703698e-06,2.982442592587e-08
1700,4,0,0.461999893188,80,5.774998664856e-03,3.397058038151e-06,4.246322547688e-08
1700,4,3,1.967000007629,271,7.258302611179e-03,4.269589771282e-06,1.575494380547e-08
1700,4,1,1.990999937057,281,7.085409028674e-03,4.167887663926e-06,1.483234044102e-08
1700,4,2,3.045000076294,377,8.076923279294e-03,4.751131340761e-06,1.260247039990e-08
1700,8,2,9.130000114441,567,1.610229297080e-02,9.471937041644e-06,1.670535633447e-08
1700,8,0,21.624000072479,1010,2.140990106186e-02,1.259405944815e-05,1.246936579025e-08
1700,8,3,26.368999958038,1075,2.452930228655e-02,1.442900134503e-05,1.342232683258e-08
1700,8,1,27.668999910355,1064,2.600469916387e-02,1.529688186110e-05,1.437676866645e-08
1700,16,3,28.865999937057,1152,2.505729161203e-02,1.473958330119e-05,-1.415769998128e-08
1700,16,2,32.483999967575,1201,2.704746042263e-02,1.591027083684e-05,-1.762670457574e-08
1700,16,1,34.493000030518,1230,2.804308945571e-02,1.649593497394e-05,-2.001871933393e-08
1700,16,0,35.046999931335,1256,2.790366236571e-02,1.641391903865e-05,-2.172573380731e-08
1700,32,1,34.217000007629,1250,2.737360000610e-02,1.610211765065e-05,-2.088035568499e-08
1700,32,2,35.937000036240,1260,2.852142860019e-02,1.677731094129e-05,-2.251625006747e-08
1700,32,0,36.717000007629,1271,2.888827695329e-02,1.699310409017e-05,-2.370800209313e-08
1700,32,3,39.648000001907,1320,3.003636363781e-02,1.766844919871e-05,-2.974595085488e-08
1800,2,0,0.288000106812,39,7.384618123372e-03,4.102565624096e-06,1.051939903614e-07
1800,2,3,0.445999860764,66,6.757573647933e-03,3.754207582185e-06,5.688193306341e-08
1800,2,2,0.464999914169,48,9.687498211861e-03,5.381943451034e-06,1.121238218965e-07
1800,2,1,0.542999982834,64,8.484374731779e-03,4.713541517655e-06,7.364908621336e-08
1800,4,2,0.328999996185,66,4.984848427050e-03,2.769360237250e-06,4.196000359470e-08
1800,4,0,0.615000009537,117,5.256410337921e-03,2.920227965512e-06,2.495921338044e-08
1800,4,1,1.274000167847,197,6.467005928156e-03,3.592781071198e-06,1.823746736649e-08
1800,4,3,1.921000003815,293,6.556314006194e-03,3.642396670108e-06,1.243138795259e-08
1800,8,1,6.125000000000,442,1.385746606335e-02,7.698592257416e-06,1.741762954166e-08
1800,8,3,30.021999835968,1097,2.736736539286e-02,1.520409188492e-05,-1.410257483197e-08
1800,8,2,32.121999979019,1210,2.654710742068e-02,1.474839301149e-05,-1.935541447952e-08
1800,8,0,32.153999805450,1171,2.745858224206e-02,1.525476791225e-05,-1.760191066505e-08
1800,16,0,34.664999961853,1258,2.755564384885e-02,1.530869102714e-05,-2.396719309062e-08
1800,16,3,36.302999973297,1257,2.888066823651e-02,1.604481568695e-05,-2.502138191486e-08
1800,16,2,37.924000024796,1299,2.919476522309e-02,1.621931401283e-05,-3.015476153289e-08
1800,16,1,38.984999895096,1316,2.962386010266e-02,1.645770005703e-05,-3.310472380463e-08
1800,32,2,40.253999948502,1331,3.024342595680e-02,1.680190330933e-05,-3.639083954506e-08
1800,32,1,40.316999912262,1339,3.010978335494e-02,1.672765741941e-05,-3.776027099441e-08
1800,32,0,42.845000028610,1374,3.118267833232e-02,1.732371018462e-05,-4.777593007477e-08
1800,32,3,44.006000041962,1390,3.165899283594e-02,1.758832935330e-05,-5.385056798774e-08
1900,2,0,0.136000156403,12,1.133334636688e-02,5.964919140464e-06,4.970765950387e-07
1900,2,3,0.157999992371,14,1.128571374076e-02,5.939849337241e-06,4.242749526601e-07
1900,2,2,0.199000120163,25,7.960004806519e-03,4.189476213957e-06,1.675790485583e-07
1900,2,1,0.351000070572,50,7.020001411438e-03,3.694737584967e-06,7.389475169935e-08
1900,4,3,1.282999992371,167,7.682634684854e-03,4.043491939397e-06,2.421252658321e-08
1900,4,0,1.525000095367,206,7.402913084308e-03,3.896270044373e-06,1.891393225424e-08
1900,4,1,2.647000074387,279,9.487455463751e-03,4.993397612501e-06,1.789748248208e-08
1900,4,2,3.675000190735,375,9.800000508626e-03,5.157895004540e-06,1.375438667877e-08
1900,8,3,31.246000051498,1053,2.967331438889e-02,1.561753388889e-05,1.483146618128e-08
1900,8,1,42.995000123978,1225,3.509795928488e-02,1.847261014994e-05,-2.977947207953e-08
1900,8,0,43.446999788284,1227,3.540912778181e-02,1.863638304306e-05,-3.028800613180e-08
1900,8,2,46.108000040054,1270,3.630551184256e-02,1.910816412766e-05,-3.747224726120e-08
1900,16,3,44.953000068665,1235,3.639919033900e-02,1.915746859947e-05,-3.217732250532e-08
1900,16,1,49.529999971390,1337,3.704562451114e-02,1.949769711112e-05,-5.511992081769e-08
1900,16,2,53.530999898911,1357,3.944804708836e-02,2.076213004651e-05,-6.723190840836e-08
1900,16,0,54.250000000000,1405,3.861209964413e-02,2.032215770744e-05,-9.966567521274e-08
1900,32,3,45.814999818802,1293,3.543310117463e-02,1.864900061823e-05,-4.096278594390e-08
1900,32,2,53.156000137329,1384,3.840751455009e-02,2.021448134215e-05,-8.107981618336e-08
1900,32,0,53.720999956131,1379,3.895649017849e-02,2.050341588341e-05,-7.878719299493e-08
