rank,frobenius_norm
909,2.254981e-02
910,2.210681e-02
911,2.165875e-02
912,2.121574e-02
913,2.077350e-02
914,2.033443e-02
915,1.991233e-02
916,1.949476e-02
917,1.907501e-02
918,1.865262e-02
919,1.824206e-02
920,1.783014e-02
921,1.741554e-02
922,1.702659e-02
923,1.663558e-02
924,1.624797e-02
925,1.586471e-02
926,1.548582e-02
927,1.511463e-02
928,1.474540e-02
929,1.438067e-02
930,1.401014e-02
931,1.367382e-02
932,1.334072e-02
933,1.301319e-02
934,1.268401e-02
935,1.235527e-02
936,1.202969e-02
937,1.170960e-02
938,1.138979e-02
939,1.108524e-02
940,1.078250e-02
941,1.047922e-02
942,1.017357e-02
943,9.871333e-03
944,9.565640e-03
945,9.271771e-03
946,8.982295e-03
947,8.694197e-03
948,8.412119e-03
949,8.133027e-03
950,7.858430e-03
951,7.583259e-03
952,7.303430e-03
953,7.031391e-03
954,6.761485e-03
955,6.496867e-03
956,6.250074e-03
957,6.002597e-03
958,5.752758e-03
959,5.516381e-03
960,5.274422e-03
961,5.035146e-03
962,4.802361e-03
963,4.584450e-03
964,4.370792e-03
965,4.166339e-03
966,3.958955e-03
967,3.748766e-03
968,3.552657e-03
969,3.369773e-03
970,3.189707e-03
971,3.004759e-03
972,2.818711e-03
973,2.640733e-03
974,2.468194e-03
975,2.294845e-03
976,2.116451e-03
977,1.960506e-03
978,1.804922e-03
979,1.656693e-03
980,1.516962e-03
981,1.377194e-03
982,1.238749e-03
983,1.100734e-03
984,9.680515e-04
985,8.529730e-04
986,7.480767e-04
987,6.298423e-04
988,5.334898e-04
989,4.241400e-04
990,3.328458e-04
991,2.483558e-04
992,1.631080e-04
993,5.332539e-05
994,1.458421e-05
995,2.416658e-06
996,6.349070e-07
997,6.108259e-07
998,6.107338e-07
999,6.107338e-07
1000,6.107338e-07
